Cloud,VM-type,CPU-cores(vCPU),Memory,Location,Linux-price
AWS,t3.nano,2,0.5,UK_South,0.0059
AWS,t3.micro,2,1,UK_South,0.0118
AWS,t3.small,2,2,UK_South,0.0236
AWS,t3.medium,2,4,UK_South,0.0472
AWS,t3.large,2,8,UK_South,0.0944
AWS,t3.xlarge,4,16,UK_South,0.1888
AWS,t3.2xlarge,8,32,UK_South,0.3776
AWS,t2.nano,1,0.5,UK_South,0.0066
AWS,t2.micro,1,1,UK_South,0.0132
AWS,t2.small,1,2,UK_South,0.026
AWS,t2.medium,2,4,UK_South,0.052
AWS,t2.large,2,8,UK_South,0.1056
AWS,t2.xlarge,4,16,UK_South,0.2112
AWS,t2.2xlarge,8,32,UK_South,0.4224
AWS,m5.large,2,8,UK_South,0.111
AWS,m5.xlarge,4,16,UK_South,0.222
AWS,m5.2xlarge,8,32,UK_South,0.444
AWS,m5.4xlarge,16,64,UK_South,0.888
AWS,m5.8xlarge,32,128,UK_South,1.776
AWS,m5.12xlarge,48,192,UK_South,2.664
AWS,m5.16xlarge,64,256,UK_South,3.552
AWS,m5.24xlarge,96,384,UK_South,5.328
AWS,m5.metal,96,384,UK_South,5.328
AWS,m5d.large,2,8,UK_South,0.131
AWS,m5d.xlarge,4,16,UK_South,0.262
AWS,m5d.2xlarge,8,32,UK_South,0.524
AWS,m5d.4xlarge,16,64,UK_South,1.048
AWS,m5d.8xlarge,32,128,UK_South,2.096
AWS,m5d.12xlarge,48,192,UK_South,3.144
AWS,m5d.16xlarge,64,256,UK_South,4.192
AWS,m5d.24xlarge,96,384,UK_South,6.288
AWS,m5d.metal,96,384,UK_South,6.288
AWS,m4.large,2,8,UK_South,0.116
AWS,m4.xlarge,4,16,UK_South,0.232
AWS,m4.2xlarge,8,32,UK_South,0.464
AWS,m4.4xlarge,16,64,UK_South,0.928
AWS,m4.10xlarge,40,160,UK_South,2.32
AWS,m4.16xlarge,64,256,UK_South,3.712
AWS,a1.medium,1,2,US_West,0.0255
AWS,a1.large,2,4,US_West,0.051
AWS,a1.xlarge,4,8,US_West,0.102
AWS,a1.2xlarge,8,16,US_West,0.204
AWS,a1.4xlarge,16,32,US_West,0.408
AWS,t3.nano,2,0.5,US_West,0.0052
AWS,t3.micro,2,1,US_West,0.0104
AWS,t3.small,2,2,US_West,0.0208
AWS,t3.medium,2,4,US_West,0.0416
AWS,t3.large,2,8,US_West,0.0832
AWS,t3.xlarge,4,16,US_West,0.1664
AWS,t3.2xlarge,8,32,US_West,0.3328
AWS,t3a.nano,2,0.5,US_West,0.0047
AWS,t3a.micro,2,1,US_West,0.0094
AWS,t3a.small,2,2,US_West,0.0188
AWS,t3a.medium,2,4,US_West,0.0376
AWS,t3a.large,2,8,US_West,0.0752
AWS,t3a.xlarge,4,16,US_West,0.1504
AWS,t3a.2xlarge,8,32,US_West,0.3008
AWS,t2.nano,1,0.5,US_West,0.0058
AWS,t2.micro,1,1,US_West,0.0116
AWS,t2.small,1,2,US_West,0.023
AWS,t2.medium,2,4,US_West,0.0464
AWS,t2.large,2,8,US_West,0.0928
AWS,t2.xlarge,4,16,US_West,0.1856
AWS,t2.2xlarge,8,32,US_West,0.3712
AWS,m5.large,2,8,US_West,0.096
AWS,m5.xlarge,4,16,US_West,0.192
AWS,m5.2xlarge,8,32,US_West,0.384
AWS,m5.4xlarge,16,64,US_West,0.768
AWS,m5.8xlarge,32,128,US_West,1.536
AWS,m5.12xlarge,48,192,US_West,2.304
AWS,m5.16xlarge,64,256,US_West,3.072
AWS,m5.24xlarge,96,384,US_West,4.608
AWS,m5.metal,96,384,US_West,4.608
AWS,m5a.large,2,8,US_West,0.086
AWS,m5a.xlarge,4,16,US_West,0.172
AWS,m5a.2xlarge,8,32,US_West,0.344
AWS,m5a.4xlarge,16,64,US_West,0.688
AWS,m5a.8xlarge,32,128,US_West,1.376
AWS,m5a.12xlarge,48,192,US_West,2.064
AWS,m5a.16xlarge,64,256,US_West,2.752
AWS,m5a.24xlarge,96,384,US_West,4.128
AWS,m5ad.large,2,8,US_West,0.103
AWS,m5ad.xlarge,4,16,US_West,0.206
AWS,m5ad.2xlarge,8,32,US_West,0.412
AWS,m5ad.4xlarge,16,64,US_West,0.824
AWS,m5ad.12xlarge,48,192,US_West,2.472
AWS,m5ad.24xlarge,96,384,US_West,4.944
AWS,m5d.large,2,8,US_West,0.113
AWS,m5d.xlarge,4,16,US_West,0.226
AWS,m5d.2xlarge,8,32,US_West,0.452
AWS,m5d.4xlarge,16,64,US_West,0.904
AWS,m5d.8xlarge,32,128,US_West,1.808
AWS,m5d.12xlarge,48,192,US_West,2.712
AWS,m5d.16xlarge,64,256,US_West,3.616
AWS,m5d.24xlarge,96,384,US_West,5.424
AWS,m5d.metal,96,384,US_West,5.424
AWS,m4.large,2,8,US_West,0.1
AWS,m4.xlarge,4,16,US_West,0.2
AWS,m4.2xlarge,8,32,US_West,0.4
AWS,m4.4xlarge,16,64,US_West,0.8
AWS,m4.10xlarge,40,160,US_West,2
AWS,m4.16xlarge,64,256,US_West,3.2
AWS,t3.nano,2,0.5,South_America,0.0084
AWS,t3.micro,2,1,South_America,0.0168
AWS,t3.small,2,2,South_America,0.0336
AWS,t3.medium,2,4,South_America,0.0672
AWS,t3.large,2,8,South_America,0.1344
AWS,t3.xlarge,4,16,South_America,0.2688
AWS,t3.2xlarge,8,32,South_America,0.5376
AWS,t2.nano,1,0.5,South_America,0.0093
AWS,t2.micro,1,1,South_America,0.0186
AWS,t2.small,1,2,South_America,0.0372
AWS,t2.medium,2,4,South_America,0.0744
AWS,t2.large,2,8,South_America,0.1488
AWS,t2.xlarge,4,16,South_America,0.2976
AWS,t2.2xlarge,8,32,South_America,0.5952
AWS,m5.large,2,8,South_America,0.153
AWS,m5.xlarge,4,16,South_America,0.306
AWS,m5.2xlarge,8,32,South_America,0.612
AWS,m5.4xlarge,16,64,South_America,1.224
AWS,m5.8xlarge,32,128,South_America,2.448
AWS,m5.12xlarge,48,192,South_America,3.672
AWS,m5.16xlarge,64,256,South_America,4.896
AWS,m5.24xlarge,96,384,South_America,7.344
AWS,m4.large,2,8,South_America,0.159
AWS,m4.xlarge,4,16,South_America,0.318
AWS,m4.2xlarge,8,32,South_America,0.636
AWS,m4.4xlarge,16,64,South_America,1.272
AWS,m4.10xlarge,40,160,South_America,3.18
AWS,m4.16xlarge,64,256,South_America,5.088
AWS,t3.nano,2,0.5,Asia_pacific,0.0066
AWS,t3.micro,2,1,Asia_pacific,0.0132
AWS,t3.small,2,2,Asia_pacific,0.0264
AWS,t3.medium,2,4,Asia_pacific,0.0528
AWS,t3.large,2,8,Asia_pacific,0.1056
AWS,t3.xlarge,4,16,Asia_pacific,0.2112
AWS,t3.2xlarge,8,32,Asia_pacific,0.4224
AWS,t3a.nano,2,0.5,Asia_pacific,0.0059
AWS,t3a.micro,2,1,Asia_pacific,0.0118
AWS,t3a.small,2,2,Asia_pacific,0.0236
AWS,t3a.medium,2,4,Asia_pacific,0.0472
AWS,t3a.large,2,8,Asia_pacific,0.0944
AWS,t3a.xlarge,4,16,Asia_pacific,0.1888
AWS,t3a.2xlarge,8,32,Asia_pacific,0.3776
AWS,t2.nano,1,0.5,Asia_pacific,0.0073
AWS,t2.micro,1,1,Asia_pacific,0.0146
AWS,t2.small,1,2,Asia_pacific,0.0292
AWS,t2.medium,2,4,Asia_pacific,0.0584
AWS,t2.large,2,8,Asia_pacific,0.1168
AWS,t2.xlarge,4,16,Asia_pacific,0.2336
AWS,t2.2xlarge,8,32,Asia_pacific,0.4672
AWS,m5.large,2,8,Asia_pacific,0.12
AWS,m5.xlarge,4,16,Asia_pacific,0.24
AWS,m5.2xlarge,8,32,Asia_pacific,0.48
AWS,m5.4xlarge,16,64,Asia_pacific,0.96
AWS,m5.8xlarge,32,128,Asia_pacific,1.92
AWS,m5.12xlarge,48,192,Asia_pacific,2.88
AWS,m5.16xlarge,64,256,Asia_pacific,3.84
AWS,m5.24xlarge,96,384,Asia_pacific,5.76
