Cloud,VM-type,CPU-cores(vCPU),Memory,Location,Linux-price
Google,n1-standard-1,1,3.75,UK_South,0.0612
Google,n1-standard-2,2,7.5,UK_South,0.1224
Google,n1-standard-4,4,15,UK_South,0.2448
Google,n1-standard-8,8,30,UK_South,0.4896
Google,n1-standard-16,16,60,UK_South,0.9792
Google,n1-standard-32,32,120,UK_South,1.9584
Google,n1-standard-64,64,240,UK_South,3.9168
Google,n1-standard-96,96,360,UK_South,5.8752
Google,n1-standard-1,1,3.75,US_West,0.0475
Google,n1-standard-2,2,7.5,US_West,0.095
Google,n1-standard-4,4,15,US_West,0.19
Google,n1-standard-8,8,30,US_West,0.38
Google,n1-standard-16,16,60,US_West,0.76
Google,n1-standard-32,32,120,US_West,1.52
Google,n1-standard-64,64,240,US_West,3.04
Google,n1-standard-96,96,360,US_West,4.56
Google,n1-standard-1,1,3.75,South_America,0.0754
Google,n1-standard-2,2,7.5,South_America,0.1508
Google,n1-standard-4,4,15,South_America,0.3017
Google,n1-standard-8,8,30,South_America,0.6034
Google,n1-standard-16,16,60,South_America,1.2068
Google,n1-standard-32,32,120,South_America,2.4136
Google,n1-standard-64,64,240,South_America,4.8271
Google,n1-standard-1,1,3.75,Asia_pacific,0.0586
Google,n1-standard-2,2,7.5,Asia_pacific,0.1172
Google,n1-standard-4,4,15,Asia_pacific,0.2344
Google,n1-standard-8,8,30,Asia_pacific,0.4688
Google,n1-standard-16,16,60,Asia_pacific,0.9376
Google,n1-standard-32,32,120,Asia_pacific,1.8752
Google,n1-standard-64,64,240,Asia_pacific,3.7504
Google,n1-standard-96,96,360,Asia_pacific,5.6256
